date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
00:38:12	44180/44180	---M-Z	200	added ('OK')	text/html	etag:%22ac94-619e4798-3910bf3ac2097776;gz%22	https://themezhub.net/kumo-demo-2/kumo/contact.html	C:/My%20Web%20Sites/Sneaker%20Site/themezhub.net/kumo-demo-2/kumo/contact.html	(from https://themezhub.net/kumo-demo-2/kumo/home-16.html)
00:38:13	41794/41794	---M-Z	200	added ('OK')	text/html	etag:%22a342-619e4793-76edea568b2f9aeb;gz%22	https://themezhub.net/kumo-demo-2/kumo/404.html	C:/My%20Web%20Sites/Sneaker%20Site/themezhub.net/kumo-demo-2/kumo/404.html	(from https://themezhub.net/kumo-demo-2/kumo/home-16.html)
00:38:13	42245/42245	---M-Z	200	added ('OK')	text/html	etag:%22a505-619e4798-6ec0c08828b94204;gz%22	https://themezhub.net/kumo-demo-2/kumo/privacy.html	C:/My%20Web%20Sites/Sneaker%20Site/themezhub.net/kumo-demo-2/kumo/privacy.html	(from https://themezhub.net/kumo-demo-2/kumo/home-16.html)
00:38:13	52594/52594	---M-Z	200	added ('OK')	text/html	etag:%22cd72-619e4798-8a18e3f4c4a7bd98;gz%22	https://themezhub.net/kumo-demo-2/kumo/faq.html	C:/My%20Web%20Sites/Sneaker%20Site/themezhub.net/kumo-demo-2/kumo/faq.html	(from https://themezhub.net/kumo-demo-2/kumo/home-16.html)
00:38:13	71421/71421	---M-Z	200	added ('OK')	text/html	etag:%22116fd-619e4798-965c938a7a1fd04a;gz%22	https://themezhub.net/kumo-demo-2/kumo/docs.html	C:/My%20Web%20Sites/Sneaker%20Site/themezhub.net/kumo-demo-2/kumo/docs.html	(from https://themezhub.net/kumo-demo-2/kumo/home-16.html)
00:38:14	56893/56893	---M--	200	added ('OK')	image/png	etag:%22de3d-619e4798-d7d912c25cdba632;;;%22	https://themezhub.net/kumo-demo-2/kumo/assets/img/shop/14.png	C:/My%20Web%20Sites/Sneaker%20Site/themezhub.net/kumo-demo-2/kumo/assets/img/shop/14.png	(from https://themezhub.net/kumo-demo-2/kumo/home-16.html)
00:38:14	59803/59803	---M--	200	added ('OK')	image/png	etag:%22e99b-619e4798-930b7373e131dbb8;;;%22	https://themezhub.net/kumo-demo-2/kumo/assets/img/shop/15.png	C:/My%20Web%20Sites/Sneaker%20Site/themezhub.net/kumo-demo-2/kumo/assets/img/shop/15.png	(from https://themezhub.net/kumo-demo-2/kumo/home-16.html)
00:38:14	70353/70353	---M--	200	added ('OK')	image/png	etag:%22112d1-619e4798-f5abfe096dfd911c;;;%22	https://themezhub.net/kumo-demo-2/kumo/assets/img/shop/17.png	C:/My%20Web%20Sites/Sneaker%20Site/themezhub.net/kumo-demo-2/kumo/assets/img/shop/17.png	(from https://themezhub.net/kumo-demo-2/kumo/home-16.html)
00:38:14	56859/56859	---M--	200	added ('OK')	image/png	etag:%22de1b-619e4798-29ecc19754a6d96f;;;%22	https://themezhub.net/kumo-demo-2/kumo/assets/img/shop/18.png	C:/My%20Web%20Sites/Sneaker%20Site/themezhub.net/kumo-demo-2/kumo/assets/img/shop/18.png	(from https://themezhub.net/kumo-demo-2/kumo/home-16.html)
00:38:15	53545/53545	---M--	200	added ('OK')	image/png	etag:%22d129-619e4798-7c26b6c2a185b71b;;;%22	https://themezhub.net/kumo-demo-2/kumo/assets/img/shop/19.png	C:/My%20Web%20Sites/Sneaker%20Site/themezhub.net/kumo-demo-2/kumo/assets/img/shop/19.png	(from https://themezhub.net/kumo-demo-2/kumo/home-16.html)
